日期(YYYYMMDD),時間(HHMMSS),緯度(度),經度(度),高度(M),衛星等級,衛星數,速度(Knots),方向,平均精度(PDOP)
20090812,181812,30.204224,120.216209,20.0,1,4,8.2,187.2,3.5
20090812,181813,30.204208,120.216209,20.0,1,5,7.0,192.5,2.0
20090812,181814,30.204193,120.216209,20.0,1,4,5.9,179.8,2.1
20090812,181815,30.204180,120.216209,20.0,1,4,5.2,182.3,2.1
20090812,181816,30.204168,120.216202,20.0,1,4,4.9,191.3,2.1
20090812,181817,30.204153,120.216202,20.0,1,4,6.0,190.1,2.1
20090812,181818,30.204140,120.216202,20.0,1,4,5.8,188.9,2.1
20090812,181819,30.204121,120.216202,20.0,1,4,6.8,181.0,2.1
20090812,181820,30.204103,120.216202,20.5,1,4,6.6,183.0,2.1
20090812,181821,30.204088,120.216202,20.5,1,4,6.2,173.2,2.1
20090812,181822,30.204067,120.216202,20.0,1,4,6.6,170.0,2.1
20090812,181823,30.204050,120.216209,20.0,1,4,6.7,173.3,2.1
20090812,181824,30.204033,120.216202,20.5,1,4,6.0,179.5,2.1
20090812,181825,30.204020,120.216202,20.5,1,4,5.4,176.1,2.1
20090812,181826,30.204006,120.216209,20.5,1,4,5.1,174.9,2.1
20090812,181827,30.203993,120.216209,20.5,1,4,5.1,170.9,2.1
20090812,181828,30.203987,120.216209,20.5,1,4,1.8,197.7,3.5
20090812,181829,30.203978,120.216209,20.5,1,4,3.5,163.2,2.1
20090812,181830,30.203968,120.216209,20.5,1,4,3.1,171.6,2.1
20090812,181831,30.203959,120.216209,20.5,1,4,3.4,177.5,2.1
20090812,181832,30.203945,120.216209,20.5,1,4,3.8,183.2,2.1
20090812,181833,30.203936,120.216209,20.5,1,4,3.7,183.4,3.5
20090812,181834,30.203924,120.216209,20.5,1,4,3.6,191.7,3.5
20090812,181835,30.203915,120.216209,20.5,1,4,3.5,188.8,3.5
20090812,181836,30.203905,120.216209,20.5,1,4,3.3,177.0,3.5
20090812,181837,30.203888,120.216202,20.5,1,5,4.0,174.7,2.1
20090812,181838,30.203876,120.216202,20.0,1,4,4.4,183.8,3.5
20090812,181839,30.203863,120.216209,20.0,1,6,4.0,174.9,1.9
20090812,181840,30.203848,120.216209,20.0,1,6,4.4,172.4,1.9
20090812,181841,30.203833,120.216209,20.0,1,6,4.5,171.8,1.9
20090812,181842,30.203819,120.216209,20.0,1,6,3.7,178.7,1.9
20090812,181843,30.203804,120.216217,19.5,1,7,3.9,181.2,1.7
20090812,181844,30.203793,120.216217,19.5,1,7,4.1,179.3,1.7
20090812,181845,30.203779,120.216217,19.5,1,7,4.2,183.1,1.7
20090812,181846,30.203766,120.216217,19.5,1,7,4.2,173.8,1.7
20090812,181847,30.203751,120.216217,20.0,1,7,4.4,164.1,1.7
20090812,181848,30.203733,120.216217,20.0,1,7,4.4,182.7,1.7
20090812,181849,30.203718,120.216225,20.0,1,7,4.3,176.5,1.7
20090812,181850,30.203703,120.216225,20.0,1,8,4.4,175.7,1.3
20090812,181851,30.203690,120.216225,20.0,1,8,4.2,183.3,1.3
20090812,181852,30.203678,120.216225,20.0,1,8,3.9,196.4,1.3
20090812,181853,30.203667,120.216225,20.0,1,8,3.6,178.9,1.3
20090812,181854,30.203653,120.216225,20.0,1,8,4.2,169.8,1.3
20090812,181855,30.203640,120.216225,20.0,1,7,4.5,176.3,1.5
20090812,181856,30.203627,120.216225,20.5,1,8,4.1,181.7,1.3
20090812,181857,30.203615,120.216225,20.5,1,8,4.0,176.3,1.3
20090812,181858,30.203604,120.216225,20.5,1,8,3.6,181.0,1.3
20090812,181859,30.203592,120.216225,20.5,1,8,3.6,186.9,1.3
20090812,181900,30.203581,120.216232,20.5,1,8,3.6,175.4,1.3
20090812,181901,30.203571,120.216225,21.0,1,8,3.2,184.9,1.3
20090812,181902,30.203562,120.216232,20.5,1,7,3.3,171.7,1.7
20090812,181903,30.203552,120.216232,20.0,1,7,3.2,177.6,1.7
20090812,181904,30.203545,120.216232,19.5,1,7,3.1,175.8,1.7
20090812,181905,30.203535,120.216232,19.5,1,7,3.3,182.2,1.7
20090812,181906,30.203524,120.216232,19.5,1,7,3.6,177.3,1.7
20090812,181907,30.203512,120.216232,19.5,1,8,3.7,176.1,1.3
20090812,181908,30.203503,120.216240,19.5,1,7,3.6,159.5,1.7
20090812,181909,30.203491,120.216240,20.0,1,6,3.8,159.9,2.2
20090812,181910,30.203480,120.216248,20.0,1,7,4.0,173.4,2.0
20090812,181911,30.203470,120.216248,19.5,1,7,3.4,185.9,2.0
20090812,181912,30.203461,120.216248,19.5,1,6,3.8,174.8,2.2
20090812,181913,30.203447,120.216255,19.5,1,7,4.7,158.0,2.0
20090812,181914,30.203434,120.216255,19.5,1,7,4.9,171.6,2.0
20090812,181915,30.203421,120.216255,19.5,1,7,4.9,171.5,2.0
20090812,181916,30.203409,120.216255,19.5,1,7,4.3,177.7,2.0
20090812,181917,30.203398,120.216263,19.5,1,6,4.3,177.6,2.1
20090812,181918,30.203386,120.216263,19.5,1,6,4.2,181.6,2.1
